player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur
1057426,Armin Gigovic,Bosnia and Herzegovina,10106,2002-04-06,defensive midfielder,10192,Young Boys,187,right,1950982
1174844,Jovo Lukic,Bosnia and Herzegovina,10106,1998-11-28,striker,89022,Universitatea Cluj,190,left,959713
1179875,Ivan Basic,Bosnia and Herzegovina,10106,2002-04-30,central midfielder,166865,FC Astana,178,left,724785
1250485,Tarik Muharemovic,Bosnia and Herzegovina,10106,2003-02-28,center back,8463,Leeds United,187,left,17870981
1284492,Samed Bazdar,Bosnia and Herzegovina,10106,2004-01-31,striker,8394,Real Zaragoza,186,right,1251348
1300385,Amar Memic,Bosnia and Herzegovina,10106,2001-01-20,right wing-back,6033,Viktoria Plzen,176,right,2549448
1346860,Esmir Bajraktarevic,Bosnia and Herzegovina,10106,2005-03-10,right winger,8640,PSV Eindhoven,175,left,5515112
1415104,Benjamin Tahirovic,Bosnia and Herzegovina,10106,2003-03-03,central midfielder,8595,Brøndby IF,191,right,3975390
1515122,Arjan Malic,Bosnia and Herzegovina,10106,2005-08-28,right back,10014,Sturm Graz,186,right,1671096
1528815,Ermin Mahmic,Bosnia and Herzegovina,10106,2005-03-14,attacking midfielder,10245,Slovan Liberec,182,right,1390706
15403,Edin Dzeko,Bosnia and Herzegovina,10106,1986-03-17,striker,,,193,both,990541
1684401,Kerim Alajbegovic,Bosnia and Herzegovina,10106,2007-09-21,left winger,8178,Bayer Leverkusen,185,left,13792183
1726288,Mladen Jurkas,Bosnia and Herzegovina,10106,2007-10-07,keeper,10116,Borac Banja Luka,193,right,
304345,Sead Kolasinac,Bosnia and Herzegovina,10106,1993-06-20,center back,8524,Atalanta,183,left,2634142
388903,Haris Tabakovic,Bosnia and Herzegovina,10106,1994-06-20,striker,10013,Salzburg,196,right,2192417
466867,Nikola Vasilj,Bosnia and Herzegovina,10106,1995-12-02,keeper,8152,St. Pauli,194,right,2276621
541551,Ivan Sunjic,Bosnia and Herzegovina,10106,1996-10-09,defensive midfielder,2137,Pafos FC,184,right,831449
639558,Amir Hadziahmetovic,Bosnia and Herzegovina,10106,1997-03-08,defensive midfielder,10188,Beşiktaş,179,right,2030424
653982,Stjepan Radeljic,Bosnia and Herzegovina,10106,1997-09-05,center back,10156,Dinamo Zagreb,201,left,1388098
660148,Dzenis Burnic,Bosnia and Herzegovina,10106,1998-05-22,central midfielder,8295,Karlsruher SC,183,left,607801
725655,Nikola Katic,Bosnia and Herzegovina,10106,1996-10-10,center back,10189,Schalke 04,194,right,985683
797797,Dennis Hadzikadunic,Bosnia and Herzegovina,10106,1998-07-09,center back,8705,FC Rostov,186,right,816156
840241,Ermedin Demirovic,Bosnia and Herzegovina,10106,1998-03-25,striker,10269,VfB Stuttgart,184,right,19671986
857436,Nihad Mujakic,Bosnia and Herzegovina,10106,1998-04-15,center back,281467,Erzurumspor FK,189,left,1121576
857661,Martin Zlomislic,Bosnia and Herzegovina,10106,1998-08-16,keeper,7981,Qarabag FK,190,right,1247096
958010,Amar Dedic,Bosnia and Herzegovina,10106,2002-08-18,right back,9772,Benfica,180,right,16819758
1070712,Josko Gvardiol,Croatia,10155,2002-01-23,center back,8456,Manchester City,185,left,68240274
1077684,Ivor Pandur,Croatia,10155,2000-03-25,keeper,8548,Rangers,187,right,2390467
1186228,Josip Sutalo,Croatia,10155,2000-02-28,center back,8593,Ajax,190,right,15114820
1199714,Marco Pasalic,Croatia,10155,2000-09-14,right midfielder,267810,Orlando City,177,left,5582824
1210893,Igor Matanovic,Croatia,10155,2003-03-31,striker,8358,Freiburg,194,right,11196113
1215064,Martin Baturina,Croatia,10155,2003-02-16,left winger,10171,Como,172,right,21623619
1300358,Toni Fruk,Croatia,10155,2001-03-09,attacking midfielder,10162,Rijeka,178,left,7580516
1382000,Petar Sucic,Croatia,10155,2003-10-25,central midfielder,8636,Inter,183,right,31443413
1413996,Luka Vuskovic,Croatia,10155,2007-02-24,center back,10204,Brighton & Hove Albion,193,right,35441761
163670,Ivan Perisic,Croatia,10155,1989-02-02,left winger,8640,PSV Eindhoven,186,both,1024233
173461,Andrej Kramaric,Croatia,10155,1991-06-19,attacking midfielder,8226,Hoffenheim,177,right,2497081
239219,Mateo Kovacic,Croatia,10155,1994-05-06,defensive midfielder,8456,Manchester City,178,right,10823010
251269,Ante Budimir,Croatia,10155,1991-07-22,striker,8371,Osasuna,190,left,2344793
31097,Luka Modric,Croatia,10155,1985-09-09,central midfielder,8564,Milan,172,right,2192193
383971,Dominik Livakovic,Croatia,10155,1995-01-09,keeper,8695,Fenerbahçe,188,right,3113075
446266,Mario Pasalic,Croatia,10155,1995-02-09,defensive midfielder,8524,Atalanta,186,right,5067337
557677,Nikola Vlasic,Croatia,10155,1997-10-04,attacking midfielder,9804,Torino,178,right,7732113
557799,Duje Caleta-Car,Croatia,10155,1996-09-17,center back,9748,Lyon,186,right,2057659
616170,Martin Erlic,Croatia,10155,1998-01-24,center back,8113,FC Midtjylland,192,right,1940830
641595,Nikola Moro,Croatia,10155,1998-03-12,defensive midfielder,9857,Bologna,183,right,5085222
643448,Kristijan Jakic,Croatia,10155,1997-05-14,defensive midfielder,8406,Augsburg,181,right,5036733
709796,Petar Musa,Croatia,10155,1998-03-04,striker,6399,FC Dallas,190,right,6358766
831474,Marin Pongracic,Croatia,10155,1997-09-11,center back,8535,Fiorentina,189,right,10262311
873557,Dominik Kotarski,Croatia,10155,2000-02-10,keeper,8391,FC København,186,right,6727996
950824,Josip Stanisic,Croatia,10155,2000-04-02,right back,9823,Bayern München,186,both,35784290
959597,Luka Sucic,Croatia,10155,2002-09-08,attacking midfielder,8560,Real Sociedad,185,left,12302458
1001335,Nabil Emad Dunga,Egypt,10255,1996-04-06,central midfielder,1523707,Al Najma,179,right,550618
1022128,Hamdi Fathy,Egypt,10255,1994-09-29,center back,101901,Al-Wakrah,180,right,927834
1179331,Mohamed Abdelmonem,Egypt,10255,1999-02-01,center back,9831,Nice,183,right,1880514
1228546,Mostafa Ahmed Shobeir,Egypt,10255,2000-03-17,keeper,101745,Al Ahly SC,185,right,
1272436,Ibrahim Adel,Egypt,10255,2001-04-23,left winger,10202,Nordsjælland,178,right,1962650
1291391,Mahmoud Saber,Egypt,10255,2001-07-30,central midfielder,517894,Pyramids FC,170,right,869864
1384425,Hossam Abdelmaguid,Egypt,10255,2001-04-30,center back,80591,Zamalek SC,193,right,1416047
1418549,Marwan Ateya,Egypt,10255,1998-08-12,defensive midfielder,101745,Al Ahly SC,170,right,1900212
1426403,Mostafa Ziko,Egypt,10255,1997-04-27,left winger,517894,Pyramids FC,179,right,
1689101,Tarek Alaa,Egypt,10255,2002-01-05,right back,517894,Pyramids FC,178,right,403035
1689371,Mohamed Alaa,Egypt,10255,1999-09-01,keeper,178268,El Gouna FC,188,right,249585
1708842,Hamza Abdelkarim,Egypt,10255,2008-01-01,striker,161774,Barca Atletic,182,both,
292462,Mohamed Salah,Egypt,10255,1992-06-15,right winger,,,175,left,35103349
505872,Ramy Rabia,Egypt,10255,1993-05-20,center back,102117,Al-Ain,183,right,488977
513492,Trezeguet,Egypt,10255,1994-10-01,left winger,101745,Al Ahly SC,181,right,1900324
532766,Zizo,Egypt,10255,1996-01-10,right winger,101745,Al Ahly SC,180,right,2243623
533403,Yasser Ibrahim,Egypt,10255,1993-02-10,center back,101745,Al Ahly SC,185,right,264408
546550,Mohamed El Shenawy,Egypt,10255,1988-12-18,keeper,101745,Al Ahly SC,191,right,350095
560416,Karim Hafez,Egypt,10255,1996-03-12,left back,517894,Pyramids FC,175,left,324191
653688,Al Mahdi Soliman,Egypt,10255,1987-06-08,keeper,80591,Zamalek SC,189,right,263284
660213,Mohamed Hany,Egypt,10255,1996-02-02,right back,101745,Al Ahly SC,180,right,958997
839204,Omar Marmoush,Egypt,10255,1999-02-07,striker,8456,Manchester City,183,right,54951970
